property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,breez global heights,sohna road,0.42,654.0,6422.0,Super Built up area 623(57.88 sq.m.),2,2,2,2.0,,New Property,623.0,,,0,0,0,0,0,2,73,327.0
flat,ireo the corridors,sector 67a,1.3,1296.0,10031.0,Built Up area: 1296 (120.4 sq.m.),2,2,2,-1.0,,Undefined,,1296.0,,0,0,0,0,0,2,55,648.0
flat,tulip violet,sector 69,1.4,1581.0,8855.0,Super Built up area 1578(146.6 sq.m.),3,3,2,9.0,West,Relatively New,1578.0,,,0,0,0,1,0,2,120,527.0
house,vatika signature villas,sector 82,5.0,3240.0,15432.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,Relatively New,,3240.0,,0,1,1,1,0,2,24,810.0
flat,ats marigold,sector 89,1.5,1750.0,8571.0,Carpet area: 1750 (162.58 sq.m.),3,3,3,2.0,,New Property,,,1750.0,0,0,0,0,1,2,49,583.3333333333334
flat,m3m golf hills,sector 79,1.45,1420.0,10211.0,Carpet area: 1420 (131.92 sq.m.),2,2,3,15.0,,Undefined,,,1420.0,0,0,0,0,0,2,67,710.0
house,independent,sector 9,0.6,558.0,10753.0,Plot area 62(51.84 sq.m.),3,3,1,2.0,not available,Relatively New,,558.0,,0,0,0,0,0,2,0,186.0
flat,signature global park,sohna road,0.85,1081.0,7863.0,Super Built up area 1081(100.43 sq.m.)Built Up area: 1080 sq.ft. (100.34 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.),3,2,2,4.0,East,New Property,1081.0,1080.0,670.0,0,0,0,0,0,2,23,360.3333333333333
house,independent,sector 43,27.5,11286.0,24366.0,Plot area 1254(1048.5 sq.m.),6,7,3+,3.0,North-East,Relatively New,,11286.0,,1,1,0,1,1,1,42,1881.0
house,independent,sector 82,7.0,3240.0,21605.0,Plot area 360(301.01 sq.m.),4,4,3+,1.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,1,49,810.0
flat,m3m golfestate,sector 65,5.9,3363.0,17544.0,Super Built up area 3363(312.43 sq.m.),3,3,3,9.0,,Moderately Old,3363.0,,,1,0,0,0,0,0,21,1121.0
flat,m3m merlin,sector 67,3.5,2358.0,14843.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,15.0,South,Relatively New,2358.0,,,0,1,0,0,0,1,158,786.0
flat,signature global grand iva,sector 103,0.3,362.0,8287.0,Carpet area: 361.88 (33.62 sq.m.),1,2,2,5.0,,New Property,,,361.882318,0,0,0,0,0,2,37,362.0
flat,bptp terra,sector 37d,1.8,2191.0,8215.0,Super Built up area 2191(203.55 sq.m.),4,3,3,12.0,North,Relatively New,2191.0,,,1,0,0,0,0,1,144,547.75
flat,ss the leaf,sector 85,2.0,1685.0,11869.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3,5.0,West,Relatively New,2408.0,,1685.0,0,1,0,0,0,2,156,561.6666666666666
flat,ss the leaf,sector 85,2.1,2812.0,7468.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,9.0,East,Relatively New,2812.0,,,0,0,0,0,0,1,67,703.0
flat,signature global city 63a,sector 63a,1.4,1235.0,11336.0,Carpet area: 1235 (114.74 sq.m.),2,2,2,3.0,East,Undefined,,,1235.0,0,0,0,0,1,2,0,617.5
house,international city by sobha phase 1,sector 109,12.0,6000.0,20000.0,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3,2.0,North-East,Relatively New,,7000.0,6000.0,1,1,0,0,0,1,154,1200.0
flat,sare crescent parc royal greens phase 1,sector 92,1.0,2693.0,3713.0,Super Built up area 2020(187.66 sq.m.),4,4,3,15.0,,New Property,2020.0,,,0,0,0,0,0,2,31,673.25
house,vatika india next,sector 83,1.7,2160.0,7870.0,Plot area 240(200.67 sq.m.),3,3,3+,4.0,North-West,New Property,,2160.0,,0,1,0,1,0,2,0,720.0
house,eros rosewood villas,sector 49,2.5,1850.0,13514.0,Plot area 1530(142.14 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,2,2.0,East,Moderately Old,,1900.0,1850.0,0,0,1,1,0,2,59,616.6666666666666
flat,suncity platinum towers,sector 28,6.2,2685.0,23091.0,Super Built up area 2685(249.44 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3+,21.0,South,Relatively New,2685.0,2000.0,1900.0,0,1,0,0,0,1,160,895.0
flat,signature andour heights,sector 71,0.65,639.0,10172.0,Super Built up area 639(59.37 sq.m.)Carpet area: 542 sq.ft. (50.35 sq.m.),2,2,1,10.0,South-West,Relatively New,639.0,,542.0,0,0,0,0,0,1,23,319.5
flat,godrej summit,sector 104,0.85,1446.0,5878.0,Super Built up area 1446(134.34 sq.m.)Built Up area: 1269 sq.ft. (117.89 sq.m.)Carpet area: 777 sq.ft. (72.19 sq.m.),2,2,3+,10.0,East,Relatively New,1446.0,1269.0,777.0,1,0,0,0,0,2,79,723.0
flat,the close north,sector 50,2.51,2093.0,11992.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11.0,North-East,Moderately Old,2093.0,,,0,0,1,1,0,1,109,697.6666666666666
house,independent,sector 40,2.1,900.0,23333.0,Plot area 900(83.61 sq.m.),3,3,2,3.0,North,Moderately Old,,900.0,,0,0,0,0,1,1,35,300.0
house,international city by sobha phase 2,sector 109,12.5,4687.0,26670.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,2,63,937.4
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,1200.0,11667.0,Super Built up area 1368(127.09 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,0.0,North,Relatively New,1368.0,,1200.0,0,0,0,0,0,2,80,600.0
flat,smart world orchard,sector 61,1.7,1133.0,15004.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,,Under Construction,,,1150.0,0,0,0,0,0,2,24,566.5
house,independent,sector 2,6.0,3000.0,20000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,not available,Relatively New,,333.0,,0,0,0,0,0,2,0,750.0
flat,tulip violet,sector 69,1.7,2016.0,8433.0,Super Built up area 2010(186.74 sq.m.),4,4,2,10.0,South,New Property,2010.0,,,0,0,0,0,0,2,125,504.0
house,independent,sector 28,1.39,1200.0,11583.0,Plot area 540(50.17 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,1,3.0,North-East,Old Property,,1450.0,1200.0,0,0,1,0,0,2,37,600.0
flat,raheja vedaanta,sector 108,0.85,1833.0,4637.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2.0,North-East,Relatively New,1833.0,1500.0,1350.0,0,1,0,0,0,2,65,611.0
flat,ild greens,sector 37c,0.9,1603.0,5614.0,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3,3,3,0.0,North-East,Under Construction,1603.0,1500.0,,0,0,0,0,0,2,66,534.3333333333334
flat,microtek greenburg,sector 86,1.3,1485.0,8754.0,Super Built up area 1480(137.5 sq.m.),2,2,3,10.0,,Relatively New,1480.0,,,1,0,0,0,0,2,38,742.5
flat,bptp astaire gardens,sector 70a,1.8,1925.0,9351.0,Built Up area: 1925 (178.84 sq.m.),3,3,3,3.0,North-West,Relatively New,,1925.0,,1,0,0,0,0,2,135,641.6666666666666
flat,ramprastha the edge towers,sector 37d,1.0,1770.0,5650.0,Super Built up area 1770(164.44 sq.m.),3,3,3+,13.0,,Moderately Old,1770.0,,,0,0,0,0,0,2,38,590.0
flat,m3m capital,sector 113,1.83,1310.0,13969.0,Built Up area: 1310 (121.7 sq.m.),2,2,0,7.0,,Undefined,,1310.0,,0,0,0,0,0,2,68,655.0
flat,tulip violet,sector 69,1.95,2010.0,9701.0,Super Built up area 2010(186.74 sq.m.),4,4,2,0.0,West,Relatively New,2010.0,,,0,0,0,0,0,2,157,502.5
flat,m3m crown,sector 111,4.67,2747.0,17000.0,Carpet area: 2750 (255.48 sq.m.),4,4,3+,8.0,,Undefined,,,2750.0,0,0,0,0,0,2,73,686.75
flat,orris aster court premier,sector 85,1.38,2120.0,6509.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6.0,North-East,Relatively New,2120.0,1616.0,,0,1,0,0,0,2,76,706.6666666666666
house,independent,sector 4,0.7,1053.0,6648.0,Built Up area: 117 (97.83 sq.m.),3,3,,1.0,not available,Undefined,,117.0,,0,0,0,0,0,2,0,351.0
flat,tulip violet,sector 69,1.78,2010.0,8856.0,Super Built up area 2010(186.74 sq.m.),4,4,2,10.0,North-East,Relatively New,2010.0,,,0,0,0,1,0,1,156,502.5
house,independent,sector 55,1.45,540.0,26852.0,Plot area 60(5.57 sq.m.),1,4,3+,4.0,East,Relatively New,,60.0,,0,0,1,0,0,2,70,540.0
flat,sare green parc phase 3,sector 92,0.95,1956.0,4857.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately Old,1956.0,,,0,0,0,0,0,2,67,489.0
house,independent,sector 2,5.6,3240.0,17284.0,Plot area 360(301.01 sq.m.),8,6,3+,,South-West,Moderately Old,,3240.0,,1,1,1,1,0,2,0,405.0
flat,tulip leaf,sector 69,2.06,1809.0,11388.0,Super Built up area 1812(168.34 sq.m.),3,3,3,16.0,South-West,Relatively New,1812.0,,,0,0,0,0,0,2,49,603.0
house,sheetla enclave,sector 5,0.96,960.0,10000.0,Plot area 945(87.79 sq.m.),2,4,2,3.0,not available,Moderately Old,,945.0,,0,0,1,1,0,1,0,480.0
flat,tata primanti,sector 72,5.25,3355.0,15648.0,Super Built up area 3355(311.69 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,4,3+,30.0,North-East,New Property,3355.0,3000.0,2800.0,0,1,0,0,0,1,174,838.75
flat,dlf belvedere towers,sector 25,3.4,2470.0,13765.0,Carpet area: 2470 (229.47 sq.m.),4,4,3,1.0,South-East,Old Property,,,2470.0,0,1,0,0,0,2,26,617.5
flat,dlf the ultima,sector 81,2.29,2096.0,10926.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,15.0,West,Relatively New,2100.0,,,0,1,0,0,0,0,103,698.6666666666666
flat,sobha city,sector 108,2.4,1381.0,17379.0,Super Built up area 1381(128.3 sq.m.),2,2,2,14.0,,New Property,1381.0,,,0,0,0,0,0,1,113,690.5
flat,mapsko mount ville,sector 79,1.28,1496.0,8556.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16.0,South,Relatively New,1490.0,,1063.91,1,0,0,0,0,1,128,498.6666666666667
house,independent,sector 7,0.27,225.0,12000.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,Moderately Old,,225.0,,0,0,0,0,0,2,12,112.5
flat,experion the heartsong,sector 108,1.2,1758.0,6826.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,3+,11.0,North-East,Relatively New,1758.0,1550.0,1400.0,0,1,0,1,0,1,174,586.0
flat,emaar mgf emerald floors premier,sector 65,2.85,1975.0,14430.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.),4,4,3,2.0,South-West,Relatively New,1975.0,1800.0,,1,1,0,0,0,2,21,493.75
flat,adani m2k oyster grande,sector 102,2.5,3198.0,7817.0,Super Built up area 3198(297.1 sq.m.),4,5,3+,5.0,South,Relatively New,3198.0,,,0,1,0,0,0,2,76,799.5
house,independent,sector 12,1.7,1800.0,9444.0,Built Up area: 200 (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),3,3,,1.0,not available,Undefined,,200.0,180.0,0,0,0,0,0,2,0,600.0
flat,dlf royalton tower,sector 43,6.5,3142.0,20687.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,Moderately Old,2997.0,,,0,1,0,0,0,2,7,785.5
house,independent,sector 39,1.6,892.0,17937.0,Plot area 892(82.87 sq.m.),1,1,2,2.0,not available,Old Property,,892.0,,0,0,0,0,0,2,40,892.0
flat,signature global park 4,sector 36,0.82,1081.0,7586.0,Carpet area: 1081 (100.43 sq.m.),3,2,3,2.0,,New Property,,,1081.0,0,0,0,0,0,2,24,360.3333333333333
flat,dlf regency park,sector 28,1.91,1150.0,16609.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,11.0,,New Property,,,1150.0,0,0,0,0,0,0,98,575.0
flat,mapsko mount ville,sector 79,1.1,864.0,12731.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,Relatively New,1490.0,,863.91,1,0,0,1,0,1,135,288.0
flat,signature global park,sohna road,0.54,830.0,6506.0,Carpet area: 830 (77.11 sq.m.),2,2,1,2.0,,Relatively New,,,830.0,0,0,0,0,0,2,16,415.0
flat,ss the leaf,sector 85,1.14,1640.0,6951.0,Super Built up area 1640(152.36 sq.m.),2,2,3,4.0,South,Relatively New,1640.0,,,0,0,0,0,0,2,109,820.0
flat,unitech greenwood city,sector 45,2.4,1944.0,12346.0,Super Built up area 216(180.6 sq.m.),3,3,2,1.0,North-West,New Property,216.0,,,0,1,0,0,0,1,19,648.0
flat,dlf the primus,sector 82a,2.6,2273.0,11439.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2.0,East,Relatively New,2273.0,,1340.0,0,0,0,0,1,2,38,568.25
flat,mapsko mount ville,sector 79,1.55,1815.0,8540.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively New,1815.0,,1071.33,0,1,0,0,0,1,152,605.0
flat,sare crescent parc,sector 92,0.92,1895.0,4855.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,5,3+,14.0,North-East,Moderately Old,,1895.0,1600.0,0,0,0,0,0,1,131,473.75
house,bptp visionnaire,sector 70a,5.35,6000.0,8917.0,Built Up area: 6000 (557.42 sq.m.),4,4,3+,3.0,North,Relatively New,,6000.0,,1,1,1,1,0,1,160,1500.0
flat,ats kocoon,sector 109,2.22,2095.0,10597.0,Super Built up area 2095(194.63 sq.m.),3,3,3,20.0,East,Relatively New,2095.0,,,0,1,0,0,1,2,79,698.3333333333334
flat,emaar gurgaon greens,sector 102,1.42,1650.0,8606.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3,3,3,4.0,North,Relatively New,1650.0,,1022.0,0,0,0,0,1,2,49,550.0
flat,mapsko mount ville,sector 79,1.25,1490.0,8389.0,Super Built up area 1490(138.43 sq.m.)Built Up area: 1058 sq.ft. (98.29 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,18.0,South,Relatively New,1490.0,1058.0,863.91,1,0,0,0,0,1,102,496.6666666666667
flat,vatika emilia floors,sector 83,0.65,1050.0,6190.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively New,1050.0,950.0,850.0,0,0,0,0,0,1,174,525.0
flat,m3m skywalk,sector 74,1.6,1406.0,11380.0,Super Built up area 1406(130.62 sq.m.),2,2,2,28.0,,New Property,1406.0,,,0,0,0,0,0,2,15,703.0
flat,samadhan shri kamal cghs,sector 1,2.01,1759.0,11427.0,Carpet area: 1760 (163.51 sq.m.),4,4,3+,10.0,,Moderately Old,,,1760.0,0,0,0,0,0,0,0,439.75
flat,tata primanti,sector 72,3.21,2000.0,16050.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,15.0,North-East,Relatively New,2185.0,2140.0,2000.0,0,1,0,0,0,1,174,666.6666666666666
flat,experion the heartsong,sector 108,1.25,1350.0,9259.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,South-East,Relatively New,1758.0,1500.0,1350.0,0,1,0,1,0,2,174,450.0
flat,smart world gems,sector 89,0.9,1105.0,8145.0,Built Up area: 1105 (102.66 sq.m.),2,2,2,1.0,,Undefined,,1105.0,,0,0,0,0,0,2,45,552.5
flat,vipul belmonte,sector 53,6.5,2965.0,21922.0,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,,Old Property,2965.0,,,1,0,0,0,1,2,72,988.3333333333334
flat,signature global city 37d ph 2,sector 37d,1.07,1299.0,8237.0,Carpet area: 1305 (121.24 sq.m.),3,3,2,2.0,North-East,Undefined,,,1305.0,0,0,0,0,0,2,86,433.0
flat,shree vardhman victoria,sector 70,1.23,1350.0,9111.0,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,North-East,Relatively New,1350.0,,,1,0,0,0,0,2,43,675.0
flat,godrej nature plus,sector 33,1.62,1159.0,13978.0,Built Up area: 129.42 Carpet area: 107.7 sq.m.,3,4,3+,3.0,North,New Property,,129.42,107.7,0,1,0,0,0,2,100,386.3333333333333
house,ansal sushant lok plots,sector 43,7.0,2700.0,25926.0,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively New,,2700.0,,1,1,0,1,0,1,41,540.0
flat,chanderlok society,sector 28,0.9,1244.0,7235.0,Carpet area: 1244 (115.57 sq.m.),4,2,3+,1.0,,Old Property,,,1244.0,0,0,0,0,0,2,0,311.0
flat,smart world orchard,sector 61,1.6,1150.0,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,North-East,New Property,,,1150.0,1,0,0,0,1,2,29,575.0
flat,bestech park view ananda,sector 81,1.15,1660.0,6928.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3,2,3+,12.0,East,Relatively New,1660.0,,1082.0,0,0,0,0,0,2,101,553.3333333333334
flat,m3m soulitude,sector 89,1.0,1103.0,9066.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,2.0,,New Property,,,1103.0,1,0,0,0,0,2,49,551.5
house,nul,sector 25,6.25,1800.0,34722.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,,1800.0,,0,1,0,1,0,1,112,360.0
flat,dlf the ultima,sector 81,2.34,2092.0,11185.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 1760 sq.ft. (163.51 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,14.0,South-East,Relatively New,2092.0,1760.0,1670.0,0,1,0,0,0,0,174,697.3333333333334
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,1359.0,9934.0,Super Built up area 1359(126.26 sq.m.),2,2,2,9.0,North-East,Relatively New,1359.0,,,0,0,0,0,0,2,100,679.5
flat,bestech park view residency,sector 2,0.95,1416.0,6709.0,Carpet area: 1416 (131.55 sq.m.),2,2,3,10.0,North-East,Old Property,,,1416.0,0,0,0,0,0,1,88,708.0
flat,signature global synera,sector 81,0.48,568.0,8451.0,Super Built up area 657(61.04 sq.m.)Carpet area: 568 sq.ft. (52.77 sq.m.),2,2,1,7.0,South-East,Relatively New,657.0,,568.0,0,0,0,0,0,1,70,284.0
flat,dlf regal gardens,sector 90,1.65,2215.0,7449.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2214 sq.ft. (205.69 sq.m.)Carpet area: 2213 sq.ft. (205.59 sq.m.),4,4,3+,15.0,East,Relatively New,2215.0,2214.0,2213.0,0,0,0,0,0,2,158,553.75
flat,tulip violet,sector 69,1.76,2010.0,8756.0,Super Built up area 2010(186.74 sq.m.),4,4,2,6.0,North,Relatively New,2010.0,,,0,0,0,0,0,2,108,502.5
flat,dlf new town heights,sector 90,1.21,1938.0,6244.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,7.0,West,Relatively New,1930.0,1929.0,1928.0,0,1,0,1,0,2,127,646.0
flat,kendriya vihar,sector 56,0.55,610.0,9016.0,Carpet area: 610 (56.67 sq.m.),1,2,1,0.0,,Old Property,,,610.0,0,0,0,0,0,2,68,610.0
flat,ats triumph,sector 104,2.78,3150.0,8825.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,11.0,South,Relatively New,3150.0,,,0,1,0,0,0,2,110,787.5
flat,ansal housing highland park,sector 103,0.88,1369.0,6428.0,Super Built up area 1361(126.44 sq.m.),2,2,3,3.0,,New Property,1361.0,,,0,0,0,0,0,2,52,684.5
flat,experion the heartsong,sector 108,3.0,1631.0,18394.0,Super Built up area 2779(258.18 sq.m.)Built Up area: 2204.25 sq.ft. (204.78 sq.m.)Carpet area: 1631.07 sq.ft. (151.53 sq.m.),4,5,3+,2.0,South-West,Relatively New,2779.0,2204.25,1631.07,0,1,0,0,0,0,149,407.75
flat,pooja apartment,sector 3 phase 3 extension,0.25,700.0,3571.0,Carpet area: 700 (65.03 sq.m.),2,2,2,2.0,East,Relatively New,,,700.0,0,0,0,0,0,2,0,350.0
flat,mapsko paradise,sector 83,0.75,1340.0,5597.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3,3,3,10.0,North,New Property,1340.0,,1000.0,0,0,0,0,1,1,49,446.6666666666667
flat,aipl zen residences,sector 70a,1.25,1262.0,9905.0,Carpet area: 1262 (117.24 sq.m.),2,2,3,19.0,,Undefined,,,1262.0,0,0,0,0,0,2,0,631.0
flat,la vida by tata housing,sector 113,2.45,2217.0,11051.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1680 sq.ft. (156.08 sq.m.),3,3,3+,3.0,North-East,Relatively New,2217.0,1890.0,1680.0,1,0,0,0,0,2,174,739.0
flat,shree vardhman victoria,sector 70,1.65,1950.0,8462.0,Super Built up area 1950(181.16 sq.m.),3,4,3,12.0,North,Relatively New,1950.0,,,0,1,1,0,0,2,56,650.0
flat,dlf new town heights,sector 90,1.51,2364.0,6387.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2362 sq.ft. (219.44 sq.m.)Carpet area: 2360 sq.ft. (219.25 sq.m.),4,4,3+,6.0,South,Relatively New,2364.0,2362.0,2360.0,0,1,0,1,0,1,142,591.0
flat,sare homes,sector 92,1.18,2266.0,5207.0,Carpet area: 2266 (210.52 sq.m.),4,4,3,8.0,North,Relatively New,,,2266.0,0,1,0,0,0,2,108,566.5
flat,emaar palm heights,sector 77,1.75,1500.0,11667.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,11.0,South-West,Relatively New,2025.0,1900.0,1500.0,0,1,0,0,0,2,94,500.0
flat,central park flower valley,sector 33,1.4,650.0,21538.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,2,54,216.66666666666666
flat,emaar mgf emerald floors premier,sector 65,2.36,1650.0,14303.0,Super Built up area 1650(153.29 sq.m.),3,3,3,0.0,North-East,Relatively New,1650.0,,,1,1,0,0,0,1,159,550.0
flat,ramprastha primera,sector 37d,1.1,1800.0,6111.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,2,149,600.0
flat,pyramid urban,sector 67a,0.55,523.0,10516.0,Carpet area: 523 (48.59 sq.m.),2,2,2,3.0,South-West,Relatively New,,,523.0,0,0,0,0,0,2,73,261.5
flat,conscient heritage max,sector 102,2.15,2149.0,10005.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,18.0,South,Relatively New,2149.0,,,1,1,0,0,0,1,134,716.3333333333334
flat,signature global synera,sector 81,0.5,634.0,7886.0,Carpet area: 634 (58.9 sq.m.),2,2,1,11.0,East,New Property,,,634.0,0,0,0,0,0,0,97,317.0
flat,umang winter hills,sector 77,0.75,1342.0,5589.0,Super Built up area 1342(124.68 sq.m.)Built Up area: 1140 sq.ft. (105.91 sq.m.)Carpet area: 969 sq.ft. (90.02 sq.m.),2,2,2,8.0,South,Relatively New,1342.0,1140.0,969.0,0,0,1,0,0,1,102,671.0
flat,bestech park view city,sector 48,2.7,2305.0,11714.0,Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7.0,North-East,Relatively New,2305.0,2000.0,1700.0,1,1,0,0,0,1,174,768.3333333333334
flat,experion the heartsong,sector 108,2.0,2338.0,8554.0,Super Built up area 2338(217.21 sq.m.),3,3,3+,14.0,East,Relatively New,2338.0,,,0,1,0,0,0,2,95,779.3333333333334
flat,adani m2k oyster grande,sector 102,1.8,1889.0,9529.0,Super Built up area 1889(175.49 sq.m.),3,4,3,17.0,South-East,Relatively New,1889.0,,,0,1,0,0,0,2,49,629.6666666666666
flat,hcbs sports ville,sohna road,0.22,700.0,3143.0,Carpet area: 700 (65.03 sq.m.),1,1,1,1.0,,New Property,,,700.0,0,0,0,0,0,2,86,700.0
flat,tulip violet,sector 69,1.4,1580.0,8861.0,Super Built up area 1578(146.6 sq.m.),3,3,2,2.0,North-East,Relatively New,1578.0,,,0,0,0,1,0,2,102,526.6666666666666
flat,gls arawali homes,sohna road,0.3,567.0,5291.0,Super Built up area 567(52.68 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,10.0,,Relatively New,567.0,,467.0,0,0,0,0,0,2,42,283.5
flat,tulip yellow,sector 69,1.8,1704.0,10563.0,Carpet area: 1704 (158.31 sq.m.),3,3,3,14.0,East,Undefined,,,1704.0,0,0,0,0,0,2,49,568.0
flat,suncity vatsal valley,gwal pahari,1.38,1430.0,9650.0,Super Built up area 1430(132.85 sq.m.),3,3,2,1.0,East,Relatively New,1430.0,,,0,0,0,0,0,1,151,476.6666666666667
house,international city by sobha phase 2,sector 109,5.65,5400.0,10463.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,0,1,0,0,1,1,44,1350.0
flat,ramsons kshitij,sector 95,0.4,685.0,5839.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,,Undefined,,,685.0,0,0,0,0,0,2,0,228.33333333333334
house,ansals florence villa,sector 57,6.0,2700.0,22222.0,Plot area 300(250.84 sq.m.),4,5,2,2.0,not available,Old Property,,2700.0,,0,1,0,1,0,1,20,675.0
flat,paras dews,sector 106,0.97,1100.0,8818.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6.0,North-East,New Property,1385.0,1200.0,1100.0,0,0,0,1,0,1,174,550.0
